what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1266244706686
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266244707635
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266244708587
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266244721767
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266244724938
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1266244729092
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1266244746781
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1266244762066
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1266244767211
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266244767973
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266244768995
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1266244780524
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1266244791412
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1266244794210
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266244795060
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266244795927
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1266244800628
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1266244803935
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266244804691
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266244805882
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1266245467418
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1266245480053
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1266245495770
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1266245525600
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1266245525833
