what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266251713378
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1266251739439
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1266251745350
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1266251752415
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266251753308
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266251760151
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1266251772889
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1266251781466
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1266251783274
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1266251792564
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1266251800623
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1266251806381
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1266251835879
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266251919227
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266251923563
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1266251924656
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266251925527
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266251926781
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266251928614
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266251976577
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1266252008847
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1266252013446
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266252014355
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266252015575
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266252016659
